code,name
1,BASIC CRUNCH 01.jpg
2,BASIC CRUNCH 02.jpg
3,BASIC CRUNCH 03.jpg
4,BASIC CRUNCH 04.jpg
5,BASIC CRUNCH 05.jpg
6,DIAGONAL CRUNCH 01.jpg
7,DIAGONAL CRUNCH 02.jpg
8,DIAGONAL CRUNCH 03.jpg
9,FRONT PLANK 01.jpg
10,FRONT PLANK 02.jpg
11,FRONT PLANK 03.jpg
12,HIP TWIST 01.jpg
13,HIP TWIST 02.jpg
14,HIP TWIST 03.jpg
15,LEMON SQUEEZER 01.jpg
16,LEMON SQUEEZER 02.jpg
17,PLANK KNEE PULL-IN 01.jpg
18,PLANK KNEE PULL-IN 02.jpg
19,PLANK KNEE PULL-IN 03.jpg
20,POWER SQUAT 01.jpg
21,ROLLER PUSH-UP 01.jpg
22,ROLLER PUSH-UP 02.jpg
23,SIDE-LIFT BEND 01.jpg
24,SIDE-LIFT BEND 02.jpg
25,SIDE-LIFT BEND 03.jpg
26,STEP-DOWN 01.jpg
27,STEP-DOWN 02.jpg
28,SWIMMING 01.jpg
29,SWIMMING 02.jpg
30,SWIMMING 03.jpg
31,THE DEAD BUG 01.jpg
32,THE DEAD BUG 02.jpg
33,THE TWIST 01.jpg
34,THE TWIST 02.jpg
35,THE TWIST 03.jpg
36,THE TWIST 04.jpg
37,THIGH ROCK-BACK 01.jpg
38,THIGH ROCK-BACK 02.jpg
39,THREAD THE NEEDLE 01.jpg
40,THREAD THE NEEDLE 02.jpg
41,THREAD THE NEEDLE 03.jpg
42,TOWEL FLY 01.jpg
43,TOWEL FLY 02.jpg
44,V-UP 01.jpg
45,V-UP 02.jpg
46,V-UP 03.jpg
47,بالا آوردن پاها با توپ مدیسنبال
48,بالارفتن از کوه با قرار دادن دست ها روی مدیسینبال
49,بالارفتن از کوه با قرار دادن پاها بر روی ولساید
50,حرکت دادن ران ها به صورت متقاطع بر روی توپ سوئیسی
51,دراز و نشست به صورت وی شکل تعدیل شده
52,دراز و نشست به صورت وی شکل همراه با مدیسینبال
53,دراز و نشست روی میز شیبدار به پایین
54,علتیدن پهلو توپ سوییسی
55,پایداری به شکل t
56,پایین آوردن پاها با کنترل
57,پرتاب مدیسینبال به زمین
58,پرتاب مدیسینبال به کنار
59,پرس عصلات مرکزی بدن سیم کش
60,پلانک بالا کشیدن تک پا.jpg
61,پلانک پاهای بالا تک پا  .jpg
62,پلانک پهلو تک پا.jpg
63,پلانک پهلو پا روی نیمکت.jpg
64,پلانک پهلو پارویی
65,پلانک پهلو پلبومتریکی
66,پلانک پهلو یک دسا زیر بدن
67,چاپ ایستاده
68,چاپ به صورت ایستاده و معکوس
69,چاپ معکوس به صورت زانو زده یک پا
70,چاپ معکوس چرخش زانو زده
71,چاپ همراه با زانو زدن یک پا
72,چاپ همراه با چرخش به صورت ایستاده1
73,چاپ همراه با چرخش به صورت ایستاده
74,چاپ همراه با چرخش به صورت دوبخشی و ایستاده
75,چاپ همراه با چرخش به صورت زانو زدن با یک پا1
76,چاپ همراه با چرخش به صورت زانو زدن با یک پا
77,چاپ همراه با چرخش زانو زده
78,چاپ همراه با چرخش، به صورت ایستادن دوبخشی
79,چرخش روسی به همراه بالا نگه داشتن پاها
80,چرخش روسی به همراه رکاب زدن
81,چرخش روسی روی توپ سوئیسی
82,چهار دست و پا بالا اوردن دست و پای مخالف روی توپ سوییسی .jpg
83,کرانچ با سیم کش ایستاده
84,کرانچ با کابل زانو زده
85,کرانچ به طرفین توپ سوییسی
86,کرانچ روی توپ سوئیسی با حمل وزنه
87,کرانچ روی توپ سوییسی
88,کرانچ معکوس با فوم غلتان همراه با دمبل
89,کرانچ معکوس با فوم غلتان همراه با مدیسینبال
90,کرانچ معکوس روی توپ سوئیسی
91,کرانچ معکوس روی میز با فوم غلتان
92,کرانچ معکوس روی میز شیبدار به بالا
93,کشیدن سیم کش به کنار بدن زانو زده معکوس
94,کشیدن سیم کش به کنار بدن زانو زده
